변환,원자료
"2007/01","75,616.00"
"2007/02","73,619.00"
"2007/03","73,162.00"
"2007/04","73,393.00"
"2007/05","78,571.00"
"2007/06","89,924.00"
"2007/07","90,658.00"
"2007/08","91,714.00"
"2007/09","98,235.00"
"2007/10","100,887.00"
"2007/11","101,500.00"
"2007/12","112,254.00"
"2008/01","123,371.00"
"2008/02","129,652.00"
"2008/03","131,757.00"
"2008/04","129,859.00"
"2008/05","128,170.00"
"2008/06","147,230.00"
"2008/07","160,595.00"
"2008/08","157,291.00"
"2008/09","157,241.00"
"2008/10","155,720.00"
"2008/11","162,570.00"
"2008/12","165,599.00"
"2009/01","162,693.00"
"2009/02","161,972.00"
"2009/03","165,641.00"
"2009/04","163,856.00"
"2009/05","151,938.00"
"2009/06","145,585.00"
"2009/07","140,186.00"
"2009/08","133,779.00"
"2009/09","126,424.00"
"2009/10","120,437.00"
"2009/11","122,542.00"
"2009/12","123,297.00"
"2010/01","119,039.00"
"2010/02","116,438.00"
"2010/03","112,910.00"
"2010/04","110,409.00"
"2010/05","110,460.00"
"2010/06","110,020.00"
"2010/07","106,464.00"
"2010/08","103,981.00"
"2010/09","100,325.00"
"2010/10","99,033.00"
"2010/11","94,539.00"
"2010/12","88,706.00"
"2011/01","84,923.00"
"2011/02","80,588.00"
"2011/03","77,572.00"
"2011/04","72,232.00"
"2011/05","71,360.00"
"2011/06","72,667.00"
"2011/07","70,087.00"
"2011/08","68,593.00"
"2011/09","68,039.00"
"2011/10","66,462.00"
"2011/11","67,040.00"
"2011/12","69,807.00"
"2012/01","67,786.00"
"2012/02","64,850.00"
"2012/03","62,949.00"
"2012/04","61,385.00"
"2012/05","62,325.00"
"2012/06","62,288.00"
"2012/07","67,060.00"
"2012/08","69,511.00"
"2012/09","71,552.00"
"2012/10","72,739.00"
"2012/11","76,319.00"
"2012/12","74,835.00"
"2013/01","75,180.00"
"2013/02","73,386.00"
"2013/03","70,633.00"
"2013/04","70,201.00"
"2013/05","66,896.00"
"2013/06","65,072.00"
"2013/07","67,672.00"
"2013/08","68,119.00"
"2013/09","66,110.00"
"2013/10","64,433.00"
"2013/11","63,709.00"
"2013/12","61,091.00"
"2014/01","58,576.00"
"2014/02","52,391.00"
"2014/03","48,167.00"
"2014/04","45,573.00"
"2014/05","49,026.00"
"2014/06","50,257.00"
"2014/07","51,287.00"
"2014/08","44,784.00"
"2014/09","39,168.00"
"2014/10","40,092.00"
"2014/11","39,703.00"
"2014/12","40,379.00"
"2015/01","36,985.00"
"2015/02","33,813.00"
"2015/03","28,897.00"
"2015/04","28,093.00"
"2015/05","28,142.00"
"2015/06","34,068.00"
"2015/07","33,177.00"
"2015/08","31,698.00"
"2015/09","32,524.00"
"2015/10","32,221.00"
"2015/11","49,724.00"
"2015/12","61,512.00"
"2016/01","60,606.00"
"2016/02","55,103.00"
"2016/03","53,845.00"
"2016/04","53,816.00"
"2016/05","55,456.00"
"2016/06","59,999.00"
"2016/07","63,127.00"
"2016/08","62,562.00"
"2016/09","60,700.00"
"2016/10","57,709.00"
"2016/11","57,582.00"
"2016/12","56,413.00"
"2017/01","59,313.00"
"2017/02","61,063.00"
"2017/03","61,679.00"
"2017/04","60,313.00"
"2017/05","56,859.00"
"2017/06","57,108.00"
"2017/07","54,282.00"
"2017/08","53,130.00"
"2017/09","54,420.00"
"2017/10","55,707.00"
"2017/11","56,647.00"
"2017/12","57,330.00"
"2018/01","59,104.00"
"2018/02","60,903.00"
"2018/03","58,004.00"
"2018/04","59,583.00"
"2018/05","59,836.00"
"2018/06","62,050.00"
"2018/07","63,132.00"
"2018/08","62,370.00"
"2018/09","60,596.00"
"2018/10","60,502.00"
"2018/11","60,122.00"
"2018/12","58,838.00"
"2019/01","59,162.00"
"2019/02","59,614.00"
"2019/03","62,147.00"
"2019/04","62,041.00"
"2019/05","62,741.00"
"2019/06","63,705.00"
"2019/07","62,529.00"
"2019/08","62,385.00"
"2019/09","60,062.00"
"2019/10","56,098.00"
"2019/11","53,561.00"
"2019/12","47,797.00"
"2020/01","43,268.00"
"2020/02","39,456.00"
"2020/03","38,304.00"
"2020/04","36,629.00"
"2020/05","33,894.00"
"2020/06","29,262.00"
"2020/07","28,883.00"
"2020/08","28,831.00"
"2020/09","28,309.00"
"2020/10","26,703.00"
"2020/11","23,620.00"
"2020/12","19,005.00"
"2021/01","17,130.00"
"2021/02","15,786.00"
"2021/03","15,270.00"
"2021/04","15,798.00"
"2021/05","15,660.00"
"2021/06","16,289.00"
"2021/07","15,198.00"
"2021/08","14,864.00"
"2021/09","13,842.00"
"2021/10","14,075.00"
"2021/11","14,094.00"
"2021/12","17,710.00"
"2022/01","21,727.00"
"2022/02","25,254.00"
"2022/03","27,974.00"
"2022/04","27,180.00"
"2022/05","27,375.00"
"2022/06","27,910.00"
"2022/07","31,284.00"
"2022/08","32,722.00"
"2022/09","41,604.00"
"2022/10","47,217.00"
"2022/11","58,027.00"
"2022/12","68,107.00"
"2023/01","75,359.00"
"2023/02","75,438.00"
"2023/03","72,104.00"
"2023/04","71,365.00"
"2023/05","68,865.00"
"2023/06","66,388.00"
"2023/07","63,087.00"
"2023/08","61,811.00"
"2023/09","59,806.00"
"2023/10","58,299.00"
"2023/11","57,925.00"
"2023/12","62,489.00"
"2024/01","63,755.00"
"2024/02","64,874.00"
"2024/03","64,964.00"
"2024/04","71,997.00"
"2024/05","72,129.00"
"2024/06","74,037.00"
"2024/07","71,822.00"
"2024/08","67,550.00"
"2024/09","66,776.00"
"2024/10","65,836.00"
"2024/11","65,146.00"
"2024/12","70,173.00"
"2025/01","72,624.00"
"2025/02","70,061.00"
"2025/03","68,920.00"